Time,Actual,Estimated,IMU data
1.35,"[[-0.05932408 -0.9977259   0.03199499 -2.26367831]
 [ 0.99822528 -0.05912616  0.00709787 -4.45475483]
 [-0.00518999  0.03235928  0.99946283  1.40454173]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05934959, -0.99772435,  0.03199597, -2.26943799],
       [ 0.99822369, -0.05915119,  0.00711308, -4.45117537],
       [-0.0052043 ,  0.03236129,  0.99946269,  1.40381629],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.84276971e-03  5.24266878e-02  1.62032258e+00  2.37809991e-04
  9.77586598e-05 -5.14424405e-04]"
1.4,"[[-0.0592963  -0.99772747  0.0319976  -2.26368999]
 [ 0.99822697 -0.05909859  0.00709056 -4.45475626]
 [-0.00518343  0.03236131  0.99946279  1.40454006]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05932182, -0.99772592,  0.03199858, -2.26970883],
       [ 0.99822538, -0.05912362,  0.00710577, -4.45103068],
       [-0.00519774,  0.03236332,  0.99946266,  1.40379143],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.13021065e-03  4.77681331e-02  1.62342990e+00  1.28490524e-04
  4.83203710e-05 -5.56811472e-04]"
1.45,"[[-0.05927782 -0.99772853  0.03199882 -2.26369596]
 [ 0.9982281  -0.0590803   0.0070843  -4.45475674]
 [-0.00517771  0.03236206  0.9994628   1.40453851]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05930334, -0.99772698,  0.0319998 , -2.26994008],
       [ 0.99822651, -0.05910533,  0.00709951, -4.45090002],
       [-0.00519202,  0.03236407,  0.99946266,  1.40376149],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.15337953e-03  5.01866506e-02  1.62125226e+00  1.13351390e-04
  2.17814030e-05 -3.70257275e-04]"
1.5,"[[-0.05926227 -0.99772927  0.03200463 -2.26370215]
 [ 0.99822906 -0.05906496  0.0070765  -4.45475817]
 [-0.00517008  0.03236732  0.99946267  1.40453684]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05928779, -0.99772772,  0.03200561, -2.27015344],
       [ 0.99822747, -0.05909   ,  0.00709171, -4.45077215],
       [-0.00518439,  0.03236933,  0.99946253,  1.40373429],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.76077126e-03  5.26159320e-02  1.62107504e+00  1.46088529e-04
  1.14053844e-04 -3.12134532e-04]"
1.55,"[[-0.05924074 -0.99773041  0.03200894 -2.26370883]
 [ 0.99823037 -0.05904364  0.00706926 -4.4547596 ]
 [-0.00516329  0.03237109  0.99946258  1.4045347 ]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05926626, -0.99772886,  0.03200992, -2.27039462],
       [ 0.99822878, -0.05906867,  0.00708447, -4.45062943],
       [-0.00517759,  0.0323731 ,  0.99946244,  1.40370656],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.36257036e-03  5.26900308e-02  1.62093157e+00  1.31191032e-04
  8.32791798e-05 -4.31821727e-04]"
1.6,"[[-0.05921017 -0.99773198  0.03201657 -2.26372004]
 [ 0.99823221 -0.0590132   0.00706346 -4.45476198]
 [-0.00515804  0.0323782   0.99946238  1.40453029]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05923569, -0.99773043,  0.03201755, -2.27067231],
       [ 0.99823062, -0.05903823,  0.00707867, -4.45045955],
       [-0.00517235,  0.03238021,  0.99946224,  1.40369206],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.63518140e-03  5.43184923e-02  1.62016177e+00  9.62907068e-05
  1.48317021e-04 -6.13262051e-04]"
1.65,"[[-0.0591824  -0.9977333   0.03202658 -2.26373148]
 [ 0.99823391 -0.05898568  0.00705349 -4.45476627]
 [-0.00514839  0.03238746  0.99946213  1.40452421]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05920791, -0.99773176,  0.03202756, -2.27093543],
       [ 0.99823232, -0.05901071,  0.00706869, -4.45030614],
       [-0.00516269,  0.03238947,  0.99946199,  1.4036647 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.10319604e-03  5.26509882e-02  1.62045192e+00  1.81823305e-04
  1.96280450e-04 -5.57555796e-04]"
1.7,"[[-0.0591392  -0.99773517  0.03204822 -2.26374722]
 [ 0.99823653 -0.05894273  0.00704154 -4.4547739 ]
 [-0.00513659  0.03240813  0.99946152  1.40451562]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05916472, -0.99773362,  0.0320492 , -2.27125254],
       [ 0.99823494, -0.05896777,  0.00705675, -4.45011534],
       [-0.00515089,  0.03241014,  0.99946138,  1.40365604],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.55766980e-03  5.43249628e-02  1.62006135e+00  2.11153742e-04
  4.26944000e-04 -8.67657082e-04]"
1.75,"[[-0.05911275 -0.99773638  0.03205933 -2.26375866]
 [ 0.99823812 -0.05891636  0.00703716 -4.45477915]
 [-0.00513241  0.03241883  0.99946119  1.40451109]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05913827, -0.99773484,  0.03206031, -2.27150427],
       [ 0.99823653, -0.05894139,  0.00705237, -4.44996149],
       [-0.00514672,  0.03242084,  0.99946106,  1.40366185],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.48257566e-03  5.08669839e-02  1.62280817e+00  7.06560022e-05
  2.18567953e-04 -5.31068277e-04]"
1.8,"[[-0.05909494 -0.99773723  0.03206555 -2.26376891]
 [ 0.9982392  -0.0588987   0.0070311  -4.45477867]
 [-0.00512657  0.03242459  0.99946104  1.40450799]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05912046, -0.99773569,  0.03206653, -2.27172065],
       [ 0.99823762, -0.05892373,  0.00704631, -4.44982724],
       [-0.00514088,  0.0324266 ,  0.9994609 ,  1.40364528],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-6.06162453e-03  5.20006680e-02  1.62172908e+00  1.09812100e-04
  1.21926283e-04 -3.57454958e-04]"
1.85,"[[-0.05909321 -0.99773747  0.03206129 -2.26379442]
 [ 0.99823936 -0.05889735  0.00702017 -4.45478153]
 [-0.00511596  0.03241969  0.99946125  1.40450025]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05911873, -0.99773593,  0.03206228, -2.27188765],
       [ 0.99823778, -0.05892239,  0.00703538, -4.44972053],
       [-0.00513027,  0.0324217 ,  0.99946111,  1.40357452],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.26069530e-03  5.86927904e-02  1.61906243e+00  2.17611982e-04
 -8.53255120e-05 -3.41185531e-05]"
1.9,"[[-0.05907195 -0.99773858  0.03206603 -2.26381445]
 [ 0.99824066 -0.05887633  0.00701164 -4.45478106]
 [-0.00510786  0.03242381  0.99946116  1.40449417]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05909747, -0.99773704,  0.03206702, -2.27212406],
       [ 0.99823908, -0.05890136,  0.00702685, -4.44958581],
       [-0.00512216,  0.03242582,  0.99946102,  1.4035444 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.08513075e-03  5.03459642e-02  1.62187291e+00  1.56969790e-04
  9.18268008e-05 -4.26527313e-04]"
1.95,"[[-0.05904776 -0.99773979  0.03207287 -2.26384521]
 [ 0.99824216 -0.05885254  0.00699801 -4.45478153]
 [-0.00509462  0.03242971  0.99946103  1.40448713]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05907328, -0.99773825,  0.03207386, -2.27237391],
       [ 0.99824058, -0.05887757,  0.00701322, -4.44943504],
       [-0.00510893,  0.03243172,  0.9994609 ,  1.40349354],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.38893180e-03  5.68929080e-02  1.62060422e+00  2.57216630e-04
  1.33520480e-04 -4.85298606e-04]"
2.0,"[[-0.05904816 -0.99774002  0.03206503 -2.26386809]
 [ 0.99824219 -0.05885336  0.00698634 -4.45478344]
 [-0.00508342  0.03242119  0.99946137  1.40447628]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05907368, -0.99773848,  0.03206601, -2.27253574],
       [ 0.99824061, -0.05887839,  0.00700155, -4.44935737],
       [-0.00509772,  0.0324232 ,  0.99946123,  1.40341263],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.99458043e-03  4.94313672e-02  1.61969820e+00  2.33789416e-04
 -1.56992348e-04  8.85820907e-06]"
2.05,"[[-0.05903115 -0.99774067  0.03207601 -2.26388526]
 [ 0.99824323 -0.05883645  0.00698107 -4.45478296]
 [-0.00507806  0.03243176  0.99946105  1.40447402]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05905667, -0.99773913,  0.03207699, -2.27274542],
       [ 0.99824164, -0.05886148,  0.00699627, -4.44922766],
       [-0.00509236,  0.03243377,  0.99946091,  1.40341756],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.43715239e-03  5.03759015e-02  1.62463728e+00  9.46178131e-05
  2.17393490e-04 -3.41959354e-04]"
2.1,"[[-0.05902411 -0.99774103  0.03207789 -2.26390076]
 [ 0.99824368 -0.05882967  0.00697247 -4.45478344]
 [-0.00506959  0.03243309  0.99946105  1.40446985]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05904963, -0.99773949,  0.03207887, -2.27292619],
       [ 0.9982421 , -0.05885471,  0.00698768, -4.44912192],
       [-0.00508389,  0.0324351 ,  0.99946091,  1.40337512],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.63921221e-03  5.19381080e-02  1.62038205e+00  1.67410137e-04
  3.65775815e-05 -1.41282815e-04]"
2.15,"[[-0.05903368 -0.99774004  0.03209108 -2.26392174]
 [ 0.99824319 -0.05883962  0.00695912 -4.45478296]
 [-0.00505517  0.03244553  0.99946072  1.40446436]
 [ 0.          0.          0.          1.        ]]","(array([[-0.0590592 , -0.9977385 ,  0.03209207, -2.27301474],
       [ 0.99824161, -0.05886465,  0.00697433, -4.4490542 ],
       [-0.00506947,  0.03244753,  0.99946058,  1.4033355 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.68654301e-03  5.47756717e-02  1.62053332e+00  2.73296744e-04
  2.65346794e-04  1.90486489e-04]"
2.2,"[[-0.0590285  -0.99774014  0.03209754 -2.2639389 ]
 [ 0.99824357 -0.05883485  0.00694537 -4.45477724]
 [-0.00504122  0.03245114  0.99946061  1.40445936]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05905402, -0.9977386 ,  0.03209853, -2.27317476],
       [ 0.99824199, -0.05885988,  0.00696058, -4.44896225],
       [-0.00505552,  0.03245315,  0.99946047,  1.40328278],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-6.17349210e-03  5.09960641e-02  1.62137929e+00  2.71842231e-04
  1.28539651e-04 -1.04430911e-04]"
