Time,Actual,Estimated,AprilTag,IMU
1.0,"[[-0.15320509 -0.98771992  0.03061945 -2.26420236]
 [ 0.98810735 -0.15270674  0.01801431 -4.46031713]
 [-0.01311729  0.03301519  0.99936877  1.42729807]
 [ 0.          0.          0.          1.        ]]","[[-0.15328344 -0.98770783  0.03061753 -1.83920336]
 [ 0.98809473 -0.15278389  0.01805226 -4.63468943]
 [-0.01315249  0.03302013  0.99936814  1.43979579]
 [ 0.          0.          0.          1.        ]]",,"[[-0.15328344 -0.98770783  0.03061753 -1.83920336]
 [ 0.98809473 -0.15278389  0.01805226 -4.63468943]
 [-0.01315249  0.03302013  0.99936814  1.43979579]
 [ 0.          0.          0.          1.        ]]"
1.05,"[[-0.16192768 -0.98630228  0.03142027 -2.26443553]
 [ 0.98672386 -0.16143036  0.01778392 -4.46058941]
 [-0.01246813  0.03388283  0.99934804  1.42768109]
 [ 0.          0.          0.          1.        ]]","[[-0.16200536 -0.9862896   0.03141795 -1.79705827]
 [ 0.98671056 -0.16150653  0.01783029 -4.65172166]
 [-0.01251162  0.03388902  0.99934728  1.43958248]
 [ 0.          0.          0.          1.        ]]",,"[[-0.16200536 -0.9862896   0.03141795 -1.79705827]
 [ 0.98671056 -0.16150653  0.01783029 -4.65172166]
 [-0.01251162  0.03388902  0.99934728  1.43958248]
 [ 0.          0.          0.          1.        ]]"
1.1,"[[-0.17097833 -0.98484059  0.02924773 -2.264431  ]
 [ 0.98520726 -0.17054372  0.01677775 -4.46064711]
 [-0.01153539  0.03168371  0.99943138  1.42872596]
 [ 0.          0.          0.          1.        ]]","[[-0.17105824 -0.98482679  0.02924512 -1.75705022]
 [ 0.98519309 -0.17062281  0.01680564 -4.67014758]
 [-0.01156076  0.03168683  0.99943098  1.43058631]
 [ 0.          0.          0.          1.        ]]",,"[[-0.17105824 -0.98482679  0.02924512 -1.75705022]
 [ 0.98519309 -0.17062281  0.01680564 -4.67014758]
 [-0.01156076  0.03168683  0.99943098  1.43058631]
 [ 0.          0.          0.          1.        ]]"
1.15,"[[-0.18027845 -0.98317296  0.02950622 -2.26456809]
 [ 0.98355658 -0.17985785  0.01635874 -4.46081161]
 [-0.01077655  0.03197016  0.99943073  1.42986894]
 [ 0.          0.          0.          1.        ]]","[[-0.18035781 -0.98315849  0.02950331 -1.71251983]
 [ 0.98354171 -0.17993626  0.01639051 -4.68729463]
 [-0.01080576  0.03197389  0.99943029  1.42814921]
 [ 0.          0.          0.          1.        ]]",,"[[-0.18035781 -0.98315849  0.02950331 -1.71251983]
 [ 0.98354171 -0.17993626  0.01639051 -4.68729463]
 [-0.01080576  0.03197389  0.99943029  1.42814921]
 [ 0.          0.          0.          1.        ]]"
1.2,"[[-0.18988205 -0.9812826   0.03208213 -2.26480532]
 [ 0.98175301 -0.18942784  0.01667698 -4.46129084]
 [-0.01028758  0.03466338  0.99934609  1.43083692]
 [ 0.          0.          0.          1.        ]]","[[-0.18996128 -0.98126738  0.03207865 -1.66330089]
 [ 0.9817371  -0.18950511  0.01673538 -4.70344888]
 [-0.01034281  0.03467187  0.99934523  1.43279029]
 [ 0.          0.          0.          1.        ]]",,"[[-0.18996128 -0.98126738  0.03207865 -1.66330089]
 [ 0.9817371  -0.18950511  0.01673538 -4.70344888]
 [-0.01034281  0.03467187  0.99934523  1.43279029]
 [ 0.          0.          0.          1.        ]]"
1.25,"[[-0.19982344 -0.97918731  0.03553595 -2.26499248]
 [ 0.97978131 -0.19931305  0.01740394 -4.46196651]
 [-0.00995894  0.03829518  0.99921684  1.43126023]
 [ 0.          0.          0.          1.        ]]","[[-0.19990396 -0.97917104  0.03553148 -1.61086984]
 [ 0.97976395 -0.19939002  0.01749896 -4.71931825]
 [-0.01004985  0.03831057  0.99921534  1.44016594]
 [ 0.          0.          0.          1.        ]]",,"[[-0.19990396 -0.97917104  0.03553148 -1.61086984]
 [ 0.97976395 -0.19939002  0.01749896 -4.71931825]
 [-0.01004985  0.03831057  0.99921534  1.44016594]
 [ 0.          0.          0.          1.        ]]"
1.3,"[[-0.20987906 -0.97701931  0.03720277 -2.26494336]
 [ 0.97768106 -0.20934688  0.01770945 -4.46247959]
 [-0.00951419  0.04008929  0.9991508   1.43174493]
 [ 0.          0.          0.          1.        ]]","[[-0.20995929 -0.97700229  0.03719713 -1.55979718]
 [ 0.97766277 -0.20942264  0.01782334 -4.73581716]
 [-0.00962353  0.04010843  0.99914899  1.44293159]
 [ 0.          0.          0.          1.        ]]",,"[[-0.20995929 -0.97700229  0.03719713 -1.55979718]
 [ 0.97766277 -0.20942264  0.01782334 -4.73581716]
 [-0.00962353  0.04010843  0.99914899  1.44293159]
 [ 0.          0.          0.          1.        ]]"
1.35,"[[-0.21999138 -0.97478294  0.03744353 -2.26481891]
 [ 0.97546067 -0.21946744  0.01762189 -4.46276283]
 [-0.00895989  0.04040135  0.99914336  1.43260157]
 [ 0.          0.          0.          1.        ]]","[[-0.22007108 -0.97476521  0.03743667 -1.51006501]
 [ 0.97544164 -0.21954248  0.0177401  -4.75239969]
 [-0.00907349  0.04042137  0.99914152  1.44172405]
 [ 0.          0.          0.          1.        ]]",,"[[-0.22007108 -0.97476521  0.03743667 -1.51006501]
 [ 0.97544164 -0.21954248  0.0177401  -4.75239969]
 [-0.00907349  0.04042137  0.99914152  1.44172405]
 [ 0.          0.          0.          1.        ]]"
1.4,"[[-0.23040342 -0.97238633  0.0371361  -2.26476455]
 [ 0.97305649 -0.22988602  0.01770563 -4.46289873]
 [-0.00867964  0.04021496  0.99915335  1.43377376]
 [ 0.          0.          0.          1.        ]]","[[-0.23048274 -0.97236784  0.037128   -1.45938545]
 [ 0.97303669 -0.22996076  0.01782248 -4.76858621]
 [-0.00879202  0.04023468  0.99915158  1.44034954]
 [ 0.          0.          0.          1.        ]]",,"[[-0.23048274 -0.97236784  0.037128   -1.45938545]
 [ 0.97303669 -0.22996076  0.01782248 -4.76858621]
 [-0.00879202  0.04023468  0.99915158  1.44034954]
 [ 0.          0.          0.          1.        ]]"
1.45,"[[-0.24095461 -0.96987881  0.03572064 -2.26473737]
 [ 0.97049679 -0.24044906  0.01789503 -4.46296835]
 [-0.00876702  0.03897866  0.99920158  1.43509459]
 [ 0.          0.          0.          1.        ]]","[[-0.24103362 -0.96985952  0.03571141 -1.40934748]
 [ 0.97047626 -0.24052417  0.01799851 -4.78438987]
 [-0.00886656  0.03899533  0.99920005  1.43768618]
 [ 0.          0.          0.          1.        ]]",,"[[-0.24103362 -0.96985952  0.03571141 -1.40934748]
 [ 0.97047626 -0.24052417  0.01799851 -4.78438987]
 [-0.00886656  0.03899533  0.99920005  1.43768618]
 [ 0.          0.          0.          1.        ]]"
1.5,"[[-0.25143998 -0.96725514  0.03457502 -2.26492763]
 [ 0.96782964 -0.25093054  0.01842979 -4.46300936]
 [-0.00915038  0.03809671  0.99923216  1.43620074]
 [ 0.          0.          0.          1.        ]]","[[-0.25151832 -0.96723514  0.03456479 -1.35892778]
 [ 0.96780843 -0.25100548  0.01852287 -4.79889263]
 [-0.00924002  0.03811094  0.99923079  1.43683301]
 [ 0.          0.          0.          1.        ]]",,"[[-0.25151832 -0.96723514  0.03456479 -1.35892778]
 [ 0.96780843 -0.25100548  0.01852287 -4.79889263]
 [-0.00924002  0.03811094  0.99923079  1.43683301]
 [ 0.          0.          0.          1.        ]]"
1.55,"[[-0.2618717  -0.96449076  0.03436243 -2.26527905]
 [ 0.96505381 -0.26133405  0.01938168 -4.46311617]
 [-0.00971338  0.03823711  0.99922148  1.43679559]
 [ 0.          0.          0.          1.        ]]","[[-0.26194961 -0.96447001  0.03435121 -1.30726464]
 [ 0.96503176 -0.26140856  0.01947455 -4.81221343]
 [-0.00980292  0.03825136  0.99922006  1.43908463]
 [ 0.          0.          0.          1.        ]]",,"[[-0.26194961 -0.96447001  0.03435121 -1.30726464]
 [ 0.96503176 -0.26140856  0.01947455 -4.81221343]
 [-0.00980292  0.03825136  0.99922006  1.43908463]
 [ 0.          0.          0.          1.        ]]"
